id,partition,m_correct_16,mean_abs_delta,max_abs_delta,l1_diff,l2_diff,cosine,k16_positive_total_weight,k8_positive_total_weight,k16_negative_total_weight,k8_negative_total_weight,k16_nonzero,k8_nonzero,newly_nonzero_wrong,newly_nonzero_correct
kk_grpo_v1_train_000074,rand08,6,0.24995000999800038,0.3700852002042747,3.999200159968006,1.0350996674610249,0.9636123758498016,7.498500299940012,6.980628018096008,7.498500299940012,6.980628018096008,16,16,0,0
kk_grpo_v1_train_000074,rand09,6,0.031776457048981244,0.04236860939864173,0.5084233127836999,0.131274334882325,0.9999999999999999,7.498500299940012,7.244288643548162,7.498500299940012,7.244288643548163,16,16,0,0
kk_grpo_v1_train_000074,rand10,6,0.4999000199960008,1.2244238820968287,7.998400319936013,2.146378920801531,0.8415721228140902,7.498500299940012,6.096318253860912,7.498500299940012,6.096318253860911,16,16,0,0
kk_grpo_v1_train_000074,rand11,6,0.24995000999800038,0.3700852002042747,3.999200159968006,1.0350996674610249,0.9636123758498016,7.498500299940012,6.980628018096008,7.498500299940012,6.9806280180960085,16,16,0,0
kk_grpo_v1_train_000074,rand12,6,0.031776457048981244,0.04236860939864173,0.5084233127836999,0.131274334882325,0.9999999999999999,7.498500299940012,7.244288643548162,7.498500299940012,7.244288643548163,16,16,0,0
kk_grpo_v1_train_000074,rand13,6,0.24995000999800038,0.3700852002042747,3.999200159968006,1.0350996674610249,0.9636123758498016,7.498500299940012,6.980628018096008,7.498500299940012,6.9806280180960085,16,16,0,0
kk_grpo_v1_train_000074,rand14,6,0.031776457048981244,0.04236860939864173,0.5084233127836999,0.131274334882325,0.9999999999999999,7.498500299940012,7.244288643548162,7.498500299940012,7.244288643548163,16,16,0,0
kk_grpo_v1_train_000074,rand15,6,0.031776457048981244,0.04236860939864173,0.5084233127836999,0.131274334882325,0.9999999999999999,7.498500299940012,7.244288643548162,7.498500299940012,7.244288643548163,16,16,0,0
kk_grpo_v1_train_000074,rand16,6,0.031776457048981244,0.04236860939864173,0.5084233127836999,0.131274334882325,0.9999999999999999,7.498500299940012,7.244288643548162,7.498500299940012,7.244288643548163,16,16,0,0
kk_grpo_v1_train_000074,rand17,6,0.4999000199960008,1.2244238820968287,7.998400319936013,2.146378920801531,0.8415721228140902,7.498500299940012,6.096318253860912,7.498500299940012,6.096318253860911,16,16,0,0
kk_grpo_v1_train_000074,rand18,6,0.24995000999800038,0.3700852002042747,3.999200159968006,1.0350996674610249,0.9636123758498016,7.498500299940012,6.9806280180960085,7.498500299940012,6.9806280180960085,16,16,0,0
kk_grpo_v1_train_000074,rand19,6,0.031776457048981244,0.04236860939864173,0.5084233127836999,0.131274334882325,0.9999999999999999,7.498500299940012,7.244288643548162,7.498500299940012,7.244288643548163,16,16,0,0
kk_grpo_v1_train_000101,first8_last8,16,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0,0,0,0
