id,gold_pattern,m_correct_16,reward_mean_16,k16_zero_variance,k16_sum_positive,k16_sum_abs_negative,k16_mean_abs_advantage,k16_n_negative
kk_grpo_v1_train_003582,KKN,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_003585,KKK,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_003593,KKK,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_003603,NKK,4,0.25,False,6.706704267834583,6.706704267834585,0.8383380334793229,12
kk_grpo_v1_train_003622,KKN,9,0.5625,False,7.683713367182588,7.683713367182588,0.9604641708978235,7
kk_grpo_v1_train_003713,NKN,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_003721,KKN,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_003746,KNK,14,0.875,False,5.1219758220062985,5.1219758220062985,0.6402469777507873,2
kk_grpo_v1_train_003782,NKN,6,0.375,False,7.498500299940012,7.498500299940012,0.9373125374925015,10
kk_grpo_v1_train_003799,NNK,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_003828,NKN,12,0.75,False,6.706704267834585,6.706704267834583,0.8383380334793229,4
kk_grpo_v1_train_003874,KNK,15,0.9375,False,3.748500599760097,3.748500599760096,0.46856257497001197,1
kk_grpo_v1_train_003889,NKK,14,0.875,False,5.1219758220062985,5.1219758220062985,0.6402469777507873,2
kk_grpo_v1_train_003896,KNK,15,0.9375,False,3.748500599760097,3.748500599760096,0.46856257497001197,1
kk_grpo_v1_train_003926,KNK,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_003951,KKN,11,0.6875,False,7.1792036214468755,7.1792036214468755,0.8974004526808594,5
kk_grpo_v1_train_004002,NNK,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_004019,KNN,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_004020,KKN,10,0.625,False,7.498500299940012,7.498500299940012,0.9373125374925015,6
kk_grpo_v1_train_004039,KNN,15,0.9375,False,3.748500599760097,3.748500599760096,0.46856257497001197,1
kk_grpo_v1_train_004054,NKN,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_004061,KNK,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_004096,NKN,12,0.75,False,6.706704267834585,6.706704267834583,0.8383380334793229,4
kk_grpo_v1_train_004100,KNN,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_004120,NKN,0,0.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_004131,NNN,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_004159,NNN,15,0.9375,False,3.748500599760097,3.748500599760096,0.46856257497001197,1
kk_grpo_v1_train_004163,KNN,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_004189,NNK,4,0.25,False,6.706704267834583,6.706704267834585,0.8383380334793229,12
kk_grpo_v1_train_004237,KKN,15,0.9375,False,3.748500599760097,3.748500599760096,0.46856257497001197,1
kk_grpo_v1_train_004253,NKK,13,0.8125,False,6.04519368323583,6.045193683235832,0.755649210404479,3
kk_grpo_v1_train_004286,NKN,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_004353,KKK,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_004386,NNK,7,0.4375,False,7.683713367182588,7.683713367182588,0.9604641708978237,9
kk_grpo_v1_train_004410,NNN,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_004437,KNN,7,0.4375,False,7.683713367182588,7.683713367182588,0.9604641708978237,9
kk_grpo_v1_train_004491,KKK,9,0.5625,False,7.683713367182588,7.683713367182588,0.9604641708978235,7
kk_grpo_v1_train_004550,KNN,11,0.6875,False,7.1792036214468755,7.1792036214468755,0.8974004526808594,5
kk_grpo_v1_train_004585,NNK,13,0.8125,False,6.04519368323583,6.045193683235832,0.755649210404479,3
kk_grpo_v1_train_004600,NKN,3,0.1875,False,6.045193683235832,6.04519368323583,0.755649210404479,13
kk_grpo_v1_train_004605,NKN,8,0.5,False,7.744466982832346,7.744466982832346,0.9680583728540433,8
kk_grpo_v1_train_004607,NNN,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_004617,NNN,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_004664,NKN,6,0.375,False,7.498500299940012,7.498500299940012,0.9373125374925015,10
kk_grpo_v1_train_004682,NNN,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_004726,KNN,8,0.5,False,7.744466982832346,7.744466982832346,0.9680583728540433,8
kk_grpo_v1_train_004729,KKK,0,0.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_004734,KNN,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_004748,NKK,13,0.8125,False,6.04519368323583,6.045193683235832,0.7556492104044789,3
kk_grpo_v1_train_004796,KKN,12,0.75,False,6.706704267834585,6.706704267834583,0.8383380334793229,4
kk_grpo_v1_train_004874,KNK,14,0.875,False,5.1219758220062985,5.1219758220062985,0.6402469777507873,2
kk_grpo_v1_train_004875,KNN,14,0.875,False,5.1219758220062985,5.1219758220062985,0.6402469777507873,2
kk_grpo_v1_train_004946,KKK,12,0.75,False,6.706704267834585,6.706704267834583,0.8383380334793229,4
kk_grpo_v1_train_004948,NNN,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_004995,NNK,13,0.8125,False,6.04519368323583,6.045193683235832,0.755649210404479,3
